DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,AGRUPA EDAD PERSONA,CANTIDAD
ANTIOQUIA,ALEJANDRÍA,5021000,CARTA EXTORSIVA,16/06/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,24/06/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,18/07/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,25/08/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,05/09/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,16/09/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,30/10/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,13/11/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,25/11/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,01/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,11/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,CARTA EXTORSIVA,20/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BETANIA,5091000,CARTA EXTORSIVA,16/11/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BETULIA,5093000,CARTA EXTORSIVA,17/02/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,BRICEÑO,5107000,CARTA EXTORSIVA,23/08/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,CÁCERES,5120000,CARTA EXTORSIVA,01/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,CALDAS,5129000,CARTA EXTORSIVA,13/11/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,CAUCASIA,5154000,CARTA EXTORSIVA,05/10/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,COPACABANA,5212000,CARTA EXTORSIVA,09/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ENVIGADO,5266000,CARTA EXTORSIVA,26/10/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,GIRARDOTA,5308000,CARTA EXTORSIVA,04/12/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,ITAGUI,5360000,CARTA EXTORSIVA,15/11/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,ITAGUI,5360000,CARTA EXTORSIVA,31/12/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,LA ESTRELLA,5380000,CARTA EXTORSIVA,15/07/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,LA ESTRELLA,5380000,CARTA EXTORSIVA,11/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,03/02/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,25/02/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,06/06/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,14/08/2020,MASCULINO,ADULTOS,2
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,15/08/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,20/08/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,31/08/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,15/09/2020,MASCULINO,ADULTOS,2
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,16/09/2020,NO REPORTA,NO REPORTA,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,02/10/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,12/10/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,28/10/2020,MASCULINO,ADULTOS,2
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,01/11/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,07/11/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,16/11/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,20/11/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,29/11/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,01/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,06/12/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,06/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,07/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,11/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,14/12/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,15/12/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,20/12/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,21/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,22/12/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CARTA EXTORSIVA,31/12/2020,FEMENINO,ADULTOS,1
